EventID,FiscalYear,GiftAmt,ActiveReg,NoReg,TotalFees,ConfirmedGifts,TotalOnlineGifts,SentEmails
28940,2017,235000,544,10,8599,250058.34,151783.54,4616
29050,2017,115000,212,1,2043,58515.09,42590,1361
28195,2017,210000,285,7,8015,197481.41,140971.45,12935
28217,2017,1300000,884,11,16166,584757.07,473578.95,22290
28894,2017,2522872,1498,128,69409.5,1578385.09,1250756.25,50632
27937,2017,2400000,0,0,0,0,0,0
27876,2017,2500000,2570,1,48150,2317728.23,1687801.68,121956
28956,2017,245000,339,1,8513,225813.02,113206.13,3796
28914,2017,3600000,2656,36,120550.7,3126199.44,2331294.56,121949
28916,2017,154000,144,0,4661.5,83430,68002,1455
28918,2017,234500,358,0,12716.5,165903.77,129961.86,4996
28207,2017,600000,942,20,25309,555670.42,428340.16,27496
28136,2017,1500000,0,0,0,0,0,0
27711,2017,1500000,1182,165,40167,893641.38,554667.65,56737
28099,2017,1100000,1198,17,25235,928361.49,713625.38,51935
27759,2017,550000,522,4,12625.5,456663.73,351213.22,31507
28197,2017,1600000,1466,26,40795,1187045.52,867028.95,39506
28267,2017,172000,291,0,3372,129379.26,61469,1597
28811,2017,1280000,1482,19,42963,1020161.91,581692.9,21857
28278,2017,50000,129,1,4018,60311,32944,717
28280,2017,290000,566,5,13724,224117.97,96887,3969
28812,2017,100000,178,2,5132,81514.11,60459.11,3260
28543,2017,0,25,0,25,5,5,9
28480,2017,120000,170,2,3015,115904.27,64365.68,1634
27905,2017,787000,931,52,29417.5,602100.65,410294.89,20252
28942,2017,104000,163,0,3680,52920.51,45724.44,1097
28104,2017,530000,496,23,36019,384804.9,278092.37,10641
28949,2017,115000,206,2,4865,97696.2,78847.49,2514
28222,2017,430000,553,1,14875,321695,253920.5,6881
28205,2017,450000,453,8,29755,341617.67,246223.59,8616
28923,2017,75000,82,0,1445,63546.56,43570,2842
28124,2017,2750000,1988,62,110056,2618138.68,1904159.21,79780
28915,2017,680000,747,5,22525.99,705769.48,582636.04,30218
28287,2017,350000,334,11,8832,249067.61,150290.61,7057
28938,2017,25000,38,4,780,11650,7048,146
29037,2017,350000,281,2,5116,166531.1,94651.75,3531
28921,2017,350000,291,14,5015,198534.15,132415.38,6373
28924,2017,82000,165,3,3161,49133.04,27911,1997
28893,2017,650000,641,12,13770,633772.27,354461.71,21330
28105,2017,3000000,3821,106,99814,2806457.9,2162338.43,95055
28428,2017,96000,323,0,4506,76156.42,49550.42,2086
28209,2017,250000,1246,18,26664.5,210036.05,144527.04,7628
28218,2017,0,0,0,0,0,0,0
28272,2017,1870000,1867,173,63995,1606342.85,1043921.03,50197
28275,2017,950000,0,0,0,0,0,0
28283,2017,950000,897,9,19686.5,726511.39,451744.47,15352
27693,2017,450000,526,5,12950.36,269728.27,173448.69,8286
28911,2017,1900000,2188,40,65653.5,1557207.02,1113022.82,49920
28897,2017,800000,858,11,20027.5,618288.69,414790.99,23400
29036,2017,400000,353,3,7265,278649.99,155105.99,4298
28920,2017,40000,63,2,1085.52,23860.32,17614,4411
27764,2017,2500000,4166,82,144931.6,2553410.11,1992331.07,125951
28936,2017,100000,150,5,1611,48800.2,34425.66,2669
28958,2017,100000,81,4,831,49903.5,33780.5,671
28951,2017,100000,211,2,2393.5,66421.49,55077,1134
28957,2017,100000,192,8,2268.5,61194.67,41758.67,1301
28814,2017,73500,184,6,5258,66670.49,56402.36,4244
28892,2017,931500,1182,57,25691,794284.52,537229.38,25130
28384,2017,395000,619,46,15371,305800.47,197007.75,7808
28997,2017,21250,69,1,1187.5,21413.1,17237,91
28922,2017,416000,466,3,8787.53,345165.91,242163.62,14724
28196,2017,786220,632,32,15260,633883.99,448491.74,16327
28216,2017,6500000,7207,121,248443.42,4485757.63,3405468.59,161189
28909,2017,520000,351,16,6951.5,457743.71,248366.45,11124
28311,2017,600000,689,31,16131.5,538867.39,322646.22,19570
28941,2017,100000,419,5,11250,81697,46815,1720
28943,2017,300000,298,4,4184,117358.35,82788.19,11705
27865,2017,630000,567,3,15154.26,515692.66,330254.08,18591
29065,2017,0,97,0,2395,1255,0,0
28742,2017,160000,251,15,5794,126903.6,98190.4,3110
28263,2017,16000000,10420,674,983702.5,12626216.97,9437814.2,445829
28846,2017,0,1096,7,0,0,0,12255
28791,2017,1800000,1858,47,49665,1650432.51,1229562,77953
29042,2017,300000,321,8,6294,244840.79,162745.8,5675
28934,2017,240000,227,5,3835,129408.13,101887.96,5627
27923,2017,1561000,1509,42,34252.5,1163738,694593.14,50150
28790,2017,400000,264,2,7238.5,287959.71,161086.77,3899
28852,2017,0,1085,0,37240,29140,0,0
29175,2017,0,39,0,1140,60,0,0
28813,2017,1200000,1184,16,41647,1035152.22,470007.59,15609
28925,2017,115500,119,4,3369.5,79020.79,43656,1826
28847,2017,825000,828,18,19177,697708.97,484094.06,33166
28210,2017,40000,2,0,0,0,0,2
28273,2017,1700000,1690,33,63967,1350215.51,992049.11,32801
28219,2017,70000,83,0,3527.5,59621.75,39320,1315
28274,2017,145000,213,25,7236,150944.84,105192.53,4897
28198,2017,1500000,1746,127,37133.5,1485632.07,926622.92,38628
